exercice;etape_num;nom_etape;reps;url_image
Ab Fundamental;21;Tuck Back Rocks;15 reps;https://lh3.googleusercontent.com/docsubipk/AP9E6xU4iZeFxll2r6ca7nIjVX_wwYEJq9jUtpmCugLujKL-s53YYuTx2Gj-mPIWZ09-1GkYLNUnPfNlGGXW_6ElfQM0_mQ3rhAYFYG6nZ7V-9udELiAZN2bkd9mLGRk6tK4x9BsNxs6TP7o2Y20n7cSCms
Ab Fundamental;22;Hollow Hold (Arms Down);60 second hold;https://lh3.googleusercontent.com/docsubipk/AP9E6xVS5dd7S5DGScQ6hfI90YT0qBE0VsZ6x8hydPJhmRLPoV66vWZ_L3ujsVei5oq3bbR_oMvAKuGvERvxlHZBxNNfyFQrBYN-0hAGnEusEyP4y7bSToEZjJsMokj8Mj1Rok80mYCOb86H1RNcULo7bw
