"Workout #";"Date";"Workout Name";"Duration (sec)";"Exercise Name";"Set Order";"Weight (kg)";"Reps";"RPE";"Distance (meters)";"Seconds";"Notes";"Workout Notes"
"43";"2026-06-05 11:31:51";"Muscu";"1575";"Hanging Knee Raise";"2";"";"3";"";"";"";"";""
"43";"2026-06-05 11:31:51";"Muscu";"1575";"Hanging Knee Raise";"3";"";"3";"";"";"";"";""
"43";"2026-06-05 11:31:51";"Muscu";"1575";"Push Up";"Note";"";"";"";"";"";"Archer bad form";""
"43";"2026-06-05 11:31:51";"Muscu";"1575";"Push Up";"1";"0.0";"4";"";"";"";"";""
"43";"2026-06-05 11:31:51";"Muscu";"1575";"Push Up";"2";"0.0";"3";"";"";"";"";""
"43";"2026-06-05 11:31:51";"Muscu";"1575";"Push Up";"Note";"";"";"";"";"";"Archer bad form";""
"43";"2026-06-05 11:31:51";"Muscu";"1575";"Push Up";"1";"0.0";"4";"";"";"";"";""
"43";"2026-06-05 11:31:51";"Muscu";"1575";"Push Up";"2";"0.0";"3";"";"";"";"";""
"44";"2026-06-11 11:00:25";"Force Doigts";"1739";"Pyramide échauffement doigts";"1";"30.0";"7";"";"";"";"";"Force Doigts"
"44";"2026-06-11 11:00:25";"Force Doigts";"1739";"Pyramide échauffement doigts";"2";"30.0";"7";"";"";"";"";"Force Doigts"
"44";"2026-06-11 11:00:25";"Force Doigts";"1739";"Force Doigts Crimp";"1";"35.0";"5";"";"";"";"";"Force Doigts"
"44";"2026-06-11 11:00:25";"Force Doigts";"1739";"Force Doigts Crimp";"2";"35.0";"5";"";"";"";"";"Force Doigts"
"44";"2026-06-11 11:00:25";"Force Doigts";"1739";"Force Doigts Crimp";"3";"35.0";"5";"";"";"";"";"Force Doigts"
"44";"2026-06-11 11:00:25";"Force Doigts";"1739";"Force Doigts Crimp";"4";"0.0";"0";"";"";"";"";"Force Doigts"
"44";"2026-06-11 11:00:25";"Force Doigts";"1739";"Force Doigts Crimp";"1";"35.0";"5";"";"";"";"";"Force Doigts"
"44";"2026-06-11 11:00:25";"Force Doigts";"1739";"Force Doigts Crimp";"2";"35.0";"5";"";"";"";"";"Force Doigts"
"44";"2026-06-11 11:00:25";"Force Doigts";"1739";"Force Doigts Crimp";"3";"35.0";"4";"";"";"";"";"Force Doigts"
"44";"2026-06-11 11:00:25";"Force Doigts";"1739";"Force Doigts Crimp";"4";"0.0";"0";"";"";"";"";"Force Doigts"
"44";"2026-06-11 11:00:25";"Force Doigts";"1739";"Force Doigts 3 finger drag";"1";"25.0";"5";"";"";"";"";"Force Doigts"
"44";"2026-06-11 11:00:25";"Force Doigts";"1739";"Force Doigts 3 finger drag";"2";"25.0";"5";"";"";"";"";"Force Doigts"
"44";"2026-06-11 11:00:25";"Force Doigts";"1739";"Force Doigts 3 finger drag";"3";"25.0";"5";"";"";"";"";"Force Doigts"
"44";"2026-06-11 11:00:25";"Force Doigts";"1739";"Force Doigts 3 finger drag";"4";"25.0";"5";"";"";"";"";"Force Doigts"
"44";"2026-06-11 11:00:25";"Force Doigts";"1739";"Force Doigts 3 finger drag";"1";"25.0";"7";"";"";"";"";"Force Doigts"
"44";"2026-06-11 11:00:25";"Force Doigts";"1739";"Force Doigts 3 finger drag";"2";"27.0";"5";"";"";"";"";"Force Doigts"
"44";"2026-06-11 11:00:25";"Force Doigts";"1739";"Force Doigts 3 finger drag";"3";"27.0";"6";"";"";"";"";"Force Doigts"
"44";"2026-06-11 11:00:25";"Force Doigts";"1739";"Force Doigts 3 finger drag";"4";"27.0";"6";"";"";"";"";"Force Doigts"
"45";"2026-06-11 11:30:13";"Muscu";"2666";"Pull Up";"W";"0.0";"0";"";"";"";"";""
"45";"2026-06-11 11:30:13";"Muscu";"2666";"Pull Up";"1";"0.0";"4";"";"";"";"";""
"45";"2026-06-11 11:30:13";"Muscu";"2666";"Handstand Push Up";"Note";"";"";"";"";"";"Pike";""
"45";"2026-06-11 11:30:13";"Muscu";"2666";"Handstand Push Up";"1";"0.0";"4";"";"";"";"";""
"45";"2026-06-11 11:30:13";"Muscu";"2666";"Handstand Push Up";"2";"0.0";"4";"";"";"";"";""
"45";"2026-06-11 11:30:13";"Muscu";"2666";"Handstand Push Up";"3";"0.0";"3";"";"";"";"";""
"45";"2026-06-11 11:30:13";"Muscu";"2666";"Hanging Knee Raise";"1";"";"3";"";"";"";"";""
"45";"2026-06-11 11:30:13";"Muscu";"2666";"Hanging Knee Raise";"2";"";"3";"";"";"";"";""
"45";"2026-06-11 11:30:13";"Muscu";"2666";"Hanging Knee Raise";"3";"";"3";"";"";"";"";""
"46";"2026-06-17 10:27:33";"Force Doigts";"1992";"Pyramide échauffement doigts";"1";"30.0";"7";"";"";"";"";"Force Doigts"
"46";"2026-06-17 10:27:33";"Force Doigts";"1992";"Pyramide échauffement doigts";"2";"30.0";"7";"";"";"";"";"Force Doigts"
"46";"2026-06-17 10:27:33";"Force Doigts";"1992";"Force Doigts Crimp";"1";"35.0";"5";"";"";"";"";"Force Doigts"
"46";"2026-06-17 10:27:33";"Force Doigts";"1992";"Force Doigts Crimp";"2";"35.0";"5";"";"";"";"";"Force Doigts"
"46";"2026-06-17 10:27:33";"Force Doigts";"1992";"Force Doigts Crimp";"3";"35.0";"5";"";"";"";"";"Force Doigts"
"46";"2026-06-17 10:27:33";"Force Doigts";"1992";"Force Doigts Crimp";"1";"35.0";"5";"";"";"";"";"Force Doigts"
"46";"2026-06-17 10:27:33";"Force Doigts";"1992";"Force Doigts Crimp";"2";"35.0";"7";"";"";"";"";"Force Doigts"
"46";"2026-06-17 10:27:33";"Force Doigts";"1992";"Force Doigts Crimp";"3";"35.0";"6";"";"";"";"";"Force Doigts"
"46";"2026-06-17 10:27:33";"Force Doigts";"1992";"Force Doigts 3 finger drag";"1";"25.0";"7";"";"";"";"";"Force Doigts"
"46";"2026-06-17 10:27:33";"Force Doigts";"1992";"Force Doigts 3 finger drag";"2";"25.0";"5";"";"";"";"";"Force Doigts"
"46";"2026-06-17 10:27:33";"Force Doigts";"1992";"Force Doigts 3 finger drag";"3";"25.0";"6";"";"";"";"";"Force Doigts"
"46";"2026-06-17 10:27:33";"Force Doigts";"1992";"Force Doigts 3 finger drag";"4";"25.0";"6";"";"";"";"";"Force Doigts"
"46";"2026-06-17 10:27:33";"Force Doigts";"1992";"Force Doigts 3 finger drag";"1";"25.0";"7";"";"";"";"";"Force Doigts"
"46";"2026-06-17 10:27:33";"Force Doigts";"1992";"Force Doigts 3 finger drag";"2";"27.0";"6";"";"";"";"";"Force Doigts"
"46";"2026-06-17 10:27:33";"Force Doigts";"1992";"Force Doigts 3 finger drag";"3";"27.0";"6";"";"";"";"";"Force Doigts"
"46";"2026-06-17 10:27:33";"Force Doigts";"1992";"Force Doigts 3 finger drag";"4";"27.0";"5";"";"";"";"";"Force Doigts"
"47";"2026-06-17 11:07:04";"Muscu";"1484";"Pull Up";"W";"0.0";"0";"";"";"";"";""
"47";"2026-06-17 11:07:04";"Muscu";"1484";"Pull Up";"1";"0.0";"4";"";"";"";"";""
"47";"2026-06-17 11:07:04";"Muscu";"1484";"Pull Up";"2";"0.0";"4";"";"";"";"";""
"47";"2026-06-17 11:07:04";"Muscu";"1484";"Pull Up";"3";"0.0";"4";"";"";"";"";""
"47";"2026-06-17 11:07:04";"Muscu";"1484";"Handstand Push Up";"Note";"";"";"";"";"";"Pike";""
"47";"2026-06-17 11:07:04";"Muscu";"1484";"Handstand Push Up";"1";"0.0";"4";"";"";"";"";""
"47";"2026-06-17 11:07:04";"Muscu";"1484";"Handstand Push Up";"2";"0.0";"4";"";"";"";"";""
"47";"2026-06-17 11:07:04";"Muscu";"1484";"Handstand Push Up";"3";"0.0";"4";"";"";"";"";""
"47";"2026-06-17 11:07:04";"Muscu";"1484";"Hanging Knee Raise";"1";"";"3";"";"";"";"";""
"47";"2026-06-17 11:07:04";"Muscu";"1484";"Hanging Knee Raise";"2";"";"3";"";"";"";"";""
"47";"2026-06-17 11:07:04";"Muscu";"1484";"Hanging Knee Raise";"3";"";"3";"";"";"";"";""
"47";"2026-06-17 11:07:04";"Muscu";"1484";"Push Up";"Note";"";"";"";"";"";"Archer bad form";""
"47";"2026-06-17 11:07:04";"Muscu";"1484";"Push Up";"1";"0.0";"4";"";"";"";"";""
"47";"2026-06-17 11:07:04";"Muscu";"1484";"Push Up";"2";"0.0";"3";"";"";"";"";""
"47";"2026-06-17 11:07:04";"Muscu";"1484";"Push Up";"Note";"";"";"";"";"";"Archer bad form";""
"47";"2026-06-17 11:07:04";"Muscu";"1484";"Push Up";"1";"0.0";"4";"";"";"";"";""
"48";"2026-06-20 09:19:50";"Force Doigts";"1727";"Pyramide échauffement doigts";"1";"30.0";"7";"";"";"";"";"Force Doigts"
"48";"2026-06-20 09:19:50";"Force Doigts";"1727";"Pyramide échauffement doigts";"2";"30.0";"7";"";"";"";"";"Force Doigts"
"48";"2026-06-20 09:19:50";"Force Doigts";"1727";"Force Doigts Crimp";"1";"35.0";"5";"";"";"";"";"Force Doigts"
"48";"2026-06-20 09:19:50";"Force Doigts";"1727";"Force Doigts Crimp";"2";"35.0";"4";"";"";"";"";"Force Doigts"
"48";"2026-06-20 09:19:50";"Force Doigts";"1727";"Force Doigts Crimp";"3";"35.0";"4";"";"";"";"";"Force Doigts"
"48";"2026-06-20 09:19:50";"Force Doigts";"1727";"Force Doigts Crimp";"1";"35.0";"5";"";"";"";"";"Force Doigts"
"48";"2026-06-20 09:19:50";"Force Doigts";"1727";"Force Doigts Crimp";"2";"35.0";"5";"";"";"";"";"Force Doigts"
"48";"2026-06-20 09:19:50";"Force Doigts";"1727";"Force Doigts Crimp";"3";"35.0";"5";"";"";"";"";"Force Doigts"
"48";"2026-06-20 09:19:50";"Force Doigts";"1727";"Force Doigts 3 finger drag";"1";"25.0";"7";"";"";"";"";"Force Doigts"
"48";"2026-06-20 09:19:50";"Force Doigts";"1727";"Force Doigts 3 finger drag";"2";"27.0";"4";"";"";"";"";"Force Doigts"
"48";"2026-06-20 09:19:50";"Force Doigts";"1727";"Force Doigts 3 finger drag";"3";"27.0";"4";"";"";"";"";"Force Doigts"
"48";"2026-06-20 09:19:50";"Force Doigts";"1727";"Force Doigts 3 finger drag";"4";"25.0";"4";"";"";"";"";"Force Doigts"
"48";"2026-06-20 09:19:50";"Force Doigts";"1727";"Force Doigts 3 finger drag";"1";"25.0";"7";"";"";"";"";"Force Doigts"
"48";"2026-06-20 09:19:50";"Force Doigts";"1727";"Force Doigts 3 finger drag";"2";"27.0";"7";"";"";"";"";"Force Doigts"
"48";"2026-06-20 09:19:50";"Force Doigts";"1727";"Force Doigts 3 finger drag";"3";"27.0";"7";"";"";"";"";"Force Doigts"
"48";"2026-06-20 09:19:50";"Force Doigts";"1727";"Force Doigts 3 finger drag";"4";"27.0";"7";"";"";"";"";"Force Doigts"
"49";"2026-06-20 09:56:23";"Muscu";"1885";"Pull Up";"W";"0.0";"0";"";"";"";"";""
"49";"2026-06-20 09:56:23";"Muscu";"1885";"Pull Up";"1";"0.0";"5";"";"";"";"";""
"49";"2026-06-20 09:56:23";"Muscu";"1885";"Pull Up";"2";"0.0";"4";"";"";"";"";""
"49";"2026-06-20 09:56:23";"Muscu";"1885";"Pull Up";"3";"0.0";"3";"";"";"";"";""
"49";"2026-06-20 09:56:23";"Muscu";"1885";"Handstand Push Up";"Note";"";"";"";"";"";"Pike";""
"49";"2026-06-20 09:56:23";"Muscu";"1885";"Handstand Push Up";"1";"0.0";"4";"";"";"";"";""
"49";"2026-06-20 09:56:23";"Muscu";"1885";"Handstand Push Up";"2";"0.0";"4";"";"";"";"";""
"49";"2026-06-20 09:56:23";"Muscu";"1885";"Handstand Push Up";"3";"0.0";"4";"";"";"";"";""
"49";"2026-06-20 09:56:23";"Muscu";"1885";"Hanging Knee Raise";"1";"";"3";"";"";"";"";""
"49";"2026-06-20 09:56:23";"Muscu";"1885";"Hanging Knee Raise";"2";"";"3";"";"";"";"";""
"49";"2026-06-20 09:56:23";"Muscu";"1885";"Hanging Knee Raise";"3";"";"3";"";"";"";"";""
"49";"2026-06-20 09:56:23";"Muscu";"1885";"Push Up";"Note";"";"";"";"";"";"Archer bad form";""
"49";"2026-06-20 09:56:23";"Muscu";"1885";"Push Up";"1";"0.0";"4";"";"";"";"";""
"49";"2026-06-20 09:56:23";"Muscu";"1885";"Push Up";"2";"0.0";"4";"";"";"";"";""
"49";"2026-06-20 09:56:23";"Muscu";"1885";"Push Up";"Note";"";"";"";"";"";"Archer bad form";""
"49";"2026-06-20 09:56:23";"Muscu";"1885";"Push Up";"1";"0.0";"4";"";"";"";"";""
"49";"2026-06-20 09:56:23";"Muscu";"1885";"Push Up";"2";"0.0";"3";"";"";"";"";""
"50";"2026-06-26 11:19:52";"Muscu";"758";"Pull Up";"1";"0.0";"5";"";"";"";"";""
"50";"2026-06-26 11:19:52";"Muscu";"758";"Pull Up";"2";"0.0";"4";"";"";"";"";""
"50";"2026-06-26 11:19:52";"Muscu";"758";"Pull Up";"3";"0.0";"4";"";"";"";"";""
"50";"2026-06-26 11:19:52";"Muscu";"758";"Handstand Push Up";"Note";"";"";"";"";"";"Pike";""
"50";"2026-06-26 11:19:52";"Muscu";"758";"Handstand Push Up";"1";"0.0";"4";"";"";"";"";""
"50";"2026-06-26 11:19:52";"Muscu";"758";"Handstand Push Up";"2";"0.0";"4";"";"";"";"";""
"50";"2026-06-26 11:19:52";"Muscu";"758";"Hanging Knee Raise";"1";"";"3";"";"";"";"";""
"50";"2026-06-26 11:19:52";"Muscu";"758";"Hanging Knee Raise";"2";"";"3";"";"";"";"";""
"50";"2026-06-26 11:19:52";"Muscu";"758";"Hanging Knee Raise";"3";"";"3";"";"";"";"";""
"50";"2026-06-26 11:19:52";"Muscu";"758";"Push Up";"Note";"";"";"";"";"";"Archer bad form";""
"50";"2026-06-26 11:19:52";"Muscu";"758";"Push Up";"1";"0.0";"3";"";"";"";"";""
"50";"2026-06-26 11:19:52";"Muscu";"758";"Push Up";"2";"0.0";"3";"";"";"";"";""
"50";"2026-06-26 11:19:52";"Muscu";"758";"Push Up";"3";"0.0";"3";"";"";"";"";""
"50";"2026-06-26 11:19:52";"Muscu";"758";"Push Up";"Note";"";"";"";"";"";"Archer bad form";""
"50";"2026-06-26 11:19:52";"Muscu";"758";"Push Up";"1";"0.0";"3";"";"";"";"";""
"50";"2026-06-26 11:19:52";"Muscu";"758";"Push Up";"2";"0.0";"3";"";"";"";"";""
"50";"2026-06-26 11:19:52";"Muscu";"758";"Push Up";"3";"0.0";"3";"";"";"";"";""
"51";"2026-07-25 08:55:56";"Muscu";"2204";"Pull Up";"W";"0.0";"5";"";"";"";"";""
"51";"2026-07-25 08:55:56";"Muscu";"2204";"Pull Up";"1";"0.0";"5";"";"";"";"";""
"51";"2026-07-25 08:55:56";"Muscu";"2204";"Pull Up";"2";"0.0";"4";"";"";"";"";""
"51";"2026-07-25 08:55:56";"Muscu";"2204";"Pull Up";"3";"0.0";"5";"";"";"";"";""
"51";"2026-07-25 08:55:56";"Muscu";"2204";"Handstand Push Up";"Note";"";"";"";"";"";"Pike";""
"51";"2026-07-25 08:55:56";"Muscu";"2204";"Handstand Push Up";"1";"0.0";"4";"";"";"";"";""
"51";"2026-07-25 08:55:56";"Muscu";"2204";"Handstand Push Up";"2";"0.0";"4";"";"";"";"";""
"51";"2026-07-25 08:55:56";"Muscu";"2204";"Handstand Push Up";"3";"0.0";"4";"";"";"";"";""
"51";"2026-07-25 08:55:56";"Muscu";"2204";"Hanging Knee Raise";"1";"";"3";"";"";"";"";""
"51";"2026-07-25 08:55:56";"Muscu";"2204";"Hanging Knee Raise";"2";"";"3";"";"";"";"";""
"51";"2026-07-25 08:55:56";"Muscu";"2204";"Hanging Knee Raise";"3";"";"3";"";"";"";"";""
"51";"2026-07-25 08:55:56";"Muscu";"2204";"Push Up";"Note";"";"";"";"";"";"Archer bad form";""
"51";"2026-07-25 08:55:56";"Muscu";"2204";"Push Up";"1";"0.0";"3";"";"";"";"";""
"51";"2026-07-25 08:55:56";"Muscu";"2204";"Push Up";"2";"0.0";"3";"";"";"";"";""
"51";"2026-07-25 08:55:56";"Muscu";"2204";"Push Up";"Note";"";"";"";"";"";"Archer bad form";""
"51";"2026-07-25 08:55:56";"Muscu";"2204";"Push Up";"1";"0.0";"3";"";"";"";"";""
"51";"2026-07-25 08:55:56";"Muscu";"2204";"Push Up";"2";"0.0";"3";"";"";"";"";""
"51";"2026-07-25 08:55:56";"Muscu";"2204";"Chest Dip";"Note";"";"";"";"";"";"Biceps pull ups ";""
"51";"2026-07-25 08:55:56";"Muscu";"2204";"Chest Dip";"1";"0.0";"4";"";"";"";"";""
"51";"2026-07-25 08:55:56";"Muscu";"2204";"Chest Dip";"2";"0.0";"3";"";"";"";"";""
"51";"2026-07-25 08:55:56";"Muscu";"2204";"Chest Dip";"3";"0.0";"3";"";"";"";"";""
"51";"2026-07-25 08:55:56";"Muscu";"2204";"Push-ups taps";"Note";"";"";"";"";"";"Lsit kneen raise ";""
"51";"2026-07-25 08:55:56";"Muscu";"2204";"Push-ups taps";"1";"0.0";"20";"";"";"";"";""
"51";"2026-07-25 08:55:56";"Muscu";"2204";"Push-ups taps";"2";"0.0";"20";"";"";"";"";""
"51";"2026-07-25 08:55:56";"Muscu";"2204";"Push-ups taps";"3";"0.0";"12";"";"";"";"";""
"52";"2026-08-07 15:22:18";"Muscu";"2336";"Pull Up";"W";"0.0";"5";"";"";"";"";""
"52";"2026-08-07 15:22:18";"Muscu";"2336";"Pull Up";"1";"0.0";"5";"";"";"";"";""
"52";"2026-08-07 15:22:18";"Muscu";"2336";"Pull Up";"2";"0.0";"4";"";"";"";"";""
"52";"2026-08-07 15:22:18";"Muscu";"2336";"Pull Up";"3";"0.0";"4";"";"";"";"";""
"52";"2026-08-07 15:22:18";"Muscu";"2336";"Handstand Push Up";"Note";"";"";"";"";"";"Pike";""
"52";"2026-08-07 15:22:18";"Muscu";"2336";"Handstand Push Up";"1";"0.0";"3";"";"";"";"";""
"52";"2026-08-07 15:22:18";"Muscu";"2336";"Handstand Push Up";"2";"0.0";"3";"";"";"";"";""
"52";"2026-08-07 15:22:18";"Muscu";"2336";"Handstand Push Up";"3";"0.0";"3";"";"";"";"";""
"52";"2026-08-07 15:22:18";"Muscu";"2336";"Hanging Knee Raise";"1";"";"3";"";"";"";"";""
"52";"2026-08-07 15:22:18";"Muscu";"2336";"Hanging Knee Raise";"2";"";"3";"";"";"";"";""
"52";"2026-08-07 15:22:18";"Muscu";"2336";"Hanging Knee Raise";"3";"";"3";"";"";"";"";""
"52";"2026-08-07 15:22:18";"Muscu";"2336";"Push Up";"Note";"";"";"";"";"";"Archer bad form";""
"52";"2026-08-07 15:22:18";"Muscu";"2336";"Push Up";"1";"0.0";"4";"";"";"";"";""
"52";"2026-08-07 15:22:18";"Muscu";"2336";"Push Up";"2";"0.0";"4";"";"";"";"";""
"52";"2026-08-07 15:22:18";"Muscu";"2336";"Push Up";"3";"0.0";"4";"";"";"";"";""
"52";"2026-08-07 15:22:18";"Muscu";"2336";"Push Up";"Note";"";"";"";"";"";"Archer bad form";""
"52";"2026-08-07 15:22:18";"Muscu";"2336";"Push Up";"1";"0.0";"4";"";"";"";"";""
"52";"2026-08-07 15:22:18";"Muscu";"2336";"Push Up";"2";"0.0";"4";"";"";"";"";""
"52";"2026-08-07 15:22:18";"Muscu";"2336";"Push Up";"3";"0.0";"3";"";"";"";"";""
"52";"2026-08-07 15:22:18";"Muscu";"2336";"Chest Dip";"1";"0.0";"5";"";"";"";"";""
"52";"2026-08-07 15:22:18";"Muscu";"2336";"Chest Dip";"2";"0.0";"4";"";"";"";"";""
"52";"2026-08-07 15:22:18";"Muscu";"2336";"Chest Dip";"3";"0.0";"4";"";"";"";"";""
"52";"2026-08-07 15:22:18";"Muscu";"2336";"Push-ups taps";"Note";"";"";"";"";"";"Row";""
"52";"2026-08-07 15:22:18";"Muscu";"2336";"Push-ups taps";"1";"0.0";"12";"";"";"";"";""
"52";"2026-08-07 15:22:18";"Muscu";"2336";"Push-ups taps";"2";"0.0";"15";"";"";"";"";""
"52";"2026-08-07 15:22:18";"Muscu";"2336";"Push-ups taps";"3";"0.0";"0";"";"";"";"";""
"53";"2026-08-08 10:08:11";"Force Doigts";"3369";"Pyramide échauffement doigts";"1";"30.0";"7";"";"";"";"";"Force Doigts"
"53";"2026-08-08 10:08:11";"Force Doigts";"3369";"Pyramide échauffement doigts";"2";"30.0";"7";"";"";"";"";"Force Doigts"
"53";"2026-08-08 10:08:11";"Force Doigts";"3369";"Force Doigts Crimp";"1";"35.0";"5";"";"";"";"";"Force Doigts"
"53";"2026-08-08 10:08:11";"Force Doigts";"3369";"Force Doigts Crimp";"2";"35.0";"5";"";"";"";"";"Force Doigts"
"53";"2026-08-08 10:08:11";"Force Doigts";"3369";"Force Doigts Crimp";"3";"35.0";"5";"";"";"";"";"Force Doigts"
"53";"2026-08-08 10:08:11";"Force Doigts";"3369";"Force Doigts Crimp";"4";"0.0";"0";"";"";"";"";"Force Doigts"
"53";"2026-08-08 10:08:11";"Force Doigts";"3369";"Force Doigts Crimp";"1";"35.0";"7";"";"";"";"";"Force Doigts"
"53";"2026-08-08 10:08:11";"Force Doigts";"3369";"Force Doigts Crimp";"2";"35.0";"7";"";"";"";"";"Force Doigts"
"53";"2026-08-08 10:08:11";"Force Doigts";"3369";"Force Doigts Crimp";"3";"35.0";"7";"";"";"";"";"Force Doigts"
"53";"2026-08-08 10:08:11";"Force Doigts";"3369";"Force Doigts Crimp";"4";"0.0";"0";"";"";"";"";"Force Doigts"
"53";"2026-08-08 10:08:11";"Force Doigts";"3369";"Force Doigts 3 finger drag";"1";"25.0";"7";"";"";"";"";"Force Doigts"
"53";"2026-08-08 10:08:11";"Force Doigts";"3369";"Force Doigts 3 finger drag";"2";"27.0";"6";"";"";"";"";"Force Doigts"
"53";"2026-08-08 10:08:11";"Force Doigts";"3369";"Force Doigts 3 finger drag";"3";"27.0";"6";"";"";"";"";"Force Doigts"
"53";"2026-08-08 10:08:11";"Force Doigts";"3369";"Force Doigts 3 finger drag";"4";"25.0";"6";"";"";"";"";"Force Doigts"
"53";"2026-08-08 10:08:11";"Force Doigts";"3369";"Force Doigts 3 finger drag";"1";"25.0";"7";"";"";"";"";"Force Doigts"
"53";"2026-08-08 10:08:11";"Force Doigts";"3369";"Force Doigts 3 finger drag";"2";"27.0";"7";"";"";"";"";"Force Doigts"
"53";"2026-08-08 10:08:11";"Force Doigts";"3369";"Force Doigts 3 finger drag";"3";"27.0";"7";"";"";"";"";"Force Doigts"
"53";"2026-08-08 10:08:11";"Force Doigts";"3369";"Force Doigts 3 finger drag";"4";"27.0";"7";"";"";"";"";"Force Doigts"
"53";"2026-08-08 10:08:11";"Force Doigts";"3369";"Force Doigts Pinch";"1";"20.0";"4";"";"";"";"";"Force Doigts"
"53";"2026-08-08 10:08:11";"Force Doigts";"3369";"Force Doigts Pinch";"2";"20.0";"3";"";"";"";"";"Force Doigts"
"53";"2026-08-08 10:08:11";"Force Doigts";"3369";"Force Doigts Pinch";"3";"20.0";"4";"";"";"";"";"Force Doigts"
"53";"2026-08-08 10:08:11";"Force Doigts";"3369";"Force Doigts Pinch";"1";"20.0";"5";"";"";"";"";"Force Doigts"
"53";"2026-08-08 10:08:11";"Force Doigts";"3369";"Force Doigts Pinch";"2";"20.0";"4";"";"";"";"";"Force Doigts"
"53";"2026-08-08 10:08:11";"Force Doigts";"3369";"Force Doigts Pinch";"3";"20.0";"4";"";"";"";"";"Force Doigts"
"53";"2026-08-08 10:08:11";"Force Doigts";"3369";"Force Doigts Sloper";"1";"10.0";"5";"";"";"";"";"Force Doigts"
"53";"2026-08-08 10:08:11";"Force Doigts";"3369";"Force Doigts Sloper";"2";"15.0";"3";"";"";"";"";"Force Doigts"
"53";"2026-08-08 10:08:11";"Force Doigts";"3369";"Force Doigts Sloper";"3";"15.0";"3";"";"";"";"";"Force Doigts"
"53";"2026-08-08 10:08:11";"Force Doigts";"3369";"Force Doigts Sloper";"1";"10.0";"5";"";"";"";"";"Force Doigts"
"53";"2026-08-08 10:08:11";"Force Doigts";"3369";"Force Doigts Sloper";"2";"15.0";"3";"";"";"";"";"Force Doigts"
"53";"2026-08-08 10:08:11";"Force Doigts";"3369";"Force Doigts Sloper";"3";"15.0";"3";"";"";"";"";"Force Doigts"
"54";"2026-08-14 09:35:35";"Force Doigts";"3654";"Pyramide échauffement doigts";"1";"35.0";"7";"";"";"";"";"Force Doigts"
"54";"2026-08-14 09:35:35";"Force Doigts";"3654";"Pyramide échauffement doigts";"2";"35.0";"7";"";"";"";"";"Force Doigts"
"54";"2026-08-14 09:35:35";"Force Doigts";"3654";"Force Doigts Crimp";"1";"37.0";"3";"";"";"";"";"Force Doigts"
"54";"2026-08-14 09:35:35";"Force Doigts";"3654";"Force Doigts Crimp";"2";"37.0";"3";"";"";"";"";"Force Doigts"
"54";"2026-08-14 09:35:35";"Force Doigts";"3654";"Force Doigts Crimp";"3";"37.0";"4";"";"";"";"";"Force Doigts"
"54";"2026-08-14 09:35:35";"Force Doigts";"3654";"Force Doigts Crimp";"4";"0.0";"0";"";"";"";"";"Force Doigts"
"54";"2026-08-14 09:35:35";"Force Doigts";"3654";"Force Doigts Crimp";"1";"37.0";"5";"";"";"";"";"Force Doigts"
"54";"2026-08-14 09:35:35";"Force Doigts";"3654";"Force Doigts Crimp";"2";"37.0";"5";"";"";"";"";"Force Doigts"
"54";"2026-08-14 09:35:35";"Force Doigts";"3654";"Force Doigts Crimp";"3";"37.0";"5";"";"";"";"";"Force Doigts"
"54";"2026-08-14 09:35:35";"Force Doigts";"3654";"Force Doigts Crimp";"4";"0.0";"0";"";"";"";"";"Force Doigts"
"54";"2026-08-14 09:35:35";"Force Doigts";"3654";"Force Doigts 3 finger drag";"1";"25.0";"7";"";"";"";"";"Force Doigts"
"54";"2026-08-14 09:35:35";"Force Doigts";"3654";"Force Doigts 3 finger drag";"2";"30.0";"3";"";"";"";"";"Force Doigts"
"54";"2026-08-14 09:35:35";"Force Doigts";"3654";"Force Doigts 3 finger drag";"3";"30.0";"4";"";"";"";"";"Force Doigts"
"54";"2026-08-14 09:35:35";"Force Doigts";"3654";"Force Doigts 3 finger drag";"4";"30.0";"4";"";"";"";"";"Force Doigts"
"54";"2026-08-14 09:35:35";"Force Doigts";"3654";"Force Doigts 3 finger drag";"1";"25.0";"7";"";"";"";"";"Force Doigts"
"54";"2026-08-14 09:35:35";"Force Doigts";"3654";"Force Doigts 3 finger drag";"2";"30.0";"5";"";"";"";"";"Force Doigts"
"54";"2026-08-14 09:35:35";"Force Doigts";"3654";"Force Doigts 3 finger drag";"3";"30.0";"6";"";"";"";"";"Force Doigts"
"54";"2026-08-14 09:35:35";"Force Doigts";"3654";"Force Doigts 3 finger drag";"4";"30.0";"6";"";"";"";"";"Force Doigts"
"54";"2026-08-14 09:35:35";"Force Doigts";"3654";"Force Doigts Pinch";"1";"15.0";"7";"";"";"";"";"Force Doigts"
"54";"2026-08-14 09:35:35";"Force Doigts";"3654";"Force Doigts Pinch";"2";"20.0";"5";"";"";"";"";"Force Doigts"
"54";"2026-08-14 09:35:35";"Force Doigts";"3654";"Force Doigts Pinch";"3";"20.0";"5";"";"";"";"";"Force Doigts"
"54";"2026-08-14 09:35:35";"Force Doigts";"3654";"Force Doigts Pinch";"4";"20.0";"5";"";"";"";"";"Force Doigts"
"54";"2026-08-14 09:35:35";"Force Doigts";"3654";"Force Doigts Pinch";"1";"15.0";"7";"";"";"";"";"Force Doigts"
